frame,numero_pers,max_x,max_y,min_x,min_y,est_joueur
19,4,282.608,165.049,225.684,37.8103,0
19,6,1146.62,441.266,1060.45,300.189,0
19,5,848.819,116.125,809.654,67.1333,0
19,10,167.042,413.93,106.281,321.868,0
19,8,974.177,196.458,927.189,69.0885,0
19,7,525.462,117.965,476.546,57.304,0
19,2,666.662,135.682,629.38,24.0203,0
19,12,592.161,413.901,507.992,263.057,1
19,11,396.275,100.387,355.074,49.4664,0
19,13,460.856,115.983,415.876,63.2193,0
19,9,382.546,5.35382,366.819,5.34823,0
19,14,84.6438,72.9762,55.3139,5.35589,0
20,1,707.716,570.506,556.953,404.115,1
20,0,789.958,108.233,740.972,24.0887,0
20,4,280.662,161.12,225.68,37.8119,0
20,3,901.713,131.751,868.312,55.2834,0
20,6,1146.62,441.258,1060.46,298.298,0
20,5,848.807,116.158,809.586,67.1213,0
20,10,167.054,413.913,106.285,321.925,0
20,7,525.466,116.18,476.567,57.3051,0
20,8,974.169,196.455,927.197,69.0929,0
20,12,590.194,413.89,505.99,261.061,1
20,2,668.569,145.438,629.366,23.944,0
20,11,396.27,100.366,355.085,49.4624,0
20,13,460.845,115.987,415.867,63.1899,0
20,9,382.547,5.35366,366.819,5.34821,0
20,14,86.6827,73.0084,55.3082,4.38137,0
21,0,790.027,133.808,740.974,24.0956,0
21,1,707.715,570.507,556.94,404.105,1
21,4,280.649,159.192,225.684,39.597,0
21,3,901.708,129.782,868.3,55.2838,0
21,6,1146.62,441.261,1060.45,298.28,0
21,5,848.784,116.08,809.657,68.9612,0
21,7,525.467,118.128,476.569,57.3,0
21,10,167.057,413.939,106.271,321.911,0
21,2,668.584,137.657,631.271,23.9502,0
21,8,974.175,196.446,927.2,69.0885,0
21,12,623.48,413.899,500.094,259.09,1
21,11,398.092,100.382,355.082,49.4675,0
21,13,460.836,115.999,415.875,63.1896,0
21,9,382.544,5.35366,366.817,5.34818,0
21,14,98.3891,73.0116,55.3173,4.3864,0
22,0,801.815,133.788,740.988,24.0962,0
22,1,707.704,570.509,556.944,404.059,1
22,4,282.606,190.523,223.874,37.8179,0
22,3,901.713,131.706,868.316,55.282,0
22,6,1146.62,441.267,1060.45,298.28,0
22,7,525.471,119.993,476.567,57.2968,0
22,12,621.516,411.936,494.243,259.024,1
22,2,670.529,137.649,631.355,22.1589,0
22,5,848.803,116.06,815.509,68.9858,0
22,10,167.02,413.94,104.398,323.74,0
22,8,974.169,196.417,927.195,69.0843,0
22,11,398.135,100.385,355.082,49.4507,0
22,13,460.827,115.977,415.903,63.1847,0
22,9,382.546,5.35358,366.82,5.34801,0
22,14,96.4855,72.9989,55.2934,4.38988,0
23,0,805.698,110.24,741.002,24.0995,0
23,1,707.709,570.515,556.952,402.127,1
23,4,282.594,159.201,223.861,39.6022,0
23,3,901.715,131.716,868.309,55.2852,0
23,2,670.542,145.473,631.27,23.9674,0
23,6,1146.62,441.266,1060.44,300.205,0
23,7,525.481,119.973,476.525,57.3124,0
23,10,166.998,413.934,104.4,321.92,0
23,5,848.814,116.039,811.611,69.0029,0
23,8,974.16,196.42,927.194,69.0824,0
23,12,598.041,411.936,492.225,257.212,1
23,11,398.123,100.383,355.096,49.4542,0
23,13,460.811,114.11,415.917,63.1887,0
23,9,382.548,5.35368,366.821,5.3481,0
23,14,96.5009,72.9869,55.2797,4.3821,0
24,0,805.691,135.647,739.084,24.0892,0
24,1,707.704,570.503,556.948,402.094,1
