frame,numero_pers,joint,x,y,z,tracking
9,1,15,352.50967,-110.11182,0.0,1
9,1,16,351.92508,-116.500336,0.0,1
9,2,15,-100.98115,-406.11267,0.0,2
9,2,16,-102.85904,-173.59203,-1.1368684e-13,2
9,3,15,146.67804,-1203.448,0.0,3
9,3,16,106.33743,-1203.2908,0.0,3
9,4,15,337.46817,-1124.4401,0.0,4
9,4,16,313.2986,-1124.3524,0.0,4
9,5,15,202.82225,-1162.7885,0.0,5
9,5,16,186.26694,-1162.7262,0.0,5
9,6,15,268.4255,-1207.6737,0.0,6
9,6,16,253.31708,-1207.6146,0.0,6
9,7,15,-152.47748,-1166.588,0.0,7
9,7,16,-167.81155,-1166.53,0.0,7
9,8,15,-699.1943,-1554.062,-1.1368684e-13,8
9,8,16,-683.9656,-1455.6532,0.0,8
9,9,15,-222.49213,-1149.8569,0.0,9
9,9,16,-243.41624,-1149.779,0.0,9
9,10,15,-315.7985,-1176.6527,0.0,10
9,10,16,-317.37003,-1176.6467,0.0,10
9,11,15,-404.70374,-1039.4144,0.0,11
9,11,16,-434.67014,-1034.6744,0.0,11
9,12,15,-382.97565,-111.34584,0.0,12
9,12,16,-382.97565,-111.34584,0.0,12
9,13,15,-722.64484,-1215.8575,0.0,13
9,13,16,-722.64484,-1215.8575,0.0,13
10,0,15,-58.35822,166.45049,-1.1368684e-13,0
10,0,16,30.83827,193.77342,0.0,0
10,1,15,352.49936,-110.1048,0.0,1
10,1,16,351.91473,-116.493996,0.0,1
10,2,15,-100.613976,-406.05942,0.0,2
10,2,16,-102.81273,-172.5089,0.0,2
10,3,15,146.64514,-1203.6151,0.0,3
10,3,16,106.330795,-1203.4579,0.0,3
10,4,15,337.43475,-1124.2233,0.0,4
10,4,16,313.2467,-1124.1356,0.0,4
10,5,15,202.87512,-1162.7683,0.0,5
10,5,16,186.31271,-1162.706,0.0,5
10,6,15,271.04776,-1209.7529,0.0,6
10,6,16,252.78673,-1209.6814,0.0,6
10,7,15,-152.40858,-1168.2477,0.0,7
10,7,16,-167.87065,-1168.1892,0.0,7
10,8,15,-699.19696,-1554.0603,0.0,8
10,8,16,-683.96814,-1455.6511,0.0,8
10,9,15,-222.41643,-1149.7699,0.0,9
10,9,16,-243.35437,-1149.692,0.0,9
10,10,15,-316.03143,-1176.8542,0.0,10
10,10,16,-317.4059,-1176.849,0.0,10
10,11,15,-404.64835,-1033.7728,0.0,11
10,11,16,-434.60522,-1033.6733,0.0,11
10,12,15,-382.98386,-111.346855,0.0,12
10,12,16,-382.98386,-111.346855,0.0,12
10,13,15,-722.64935,-1215.7941,0.0,13
10,13,16,-722.64935,-1215.7941,0.0,13
11,0,15,-58.347385,166.51117,0.0,0
11,0,16,30.828362,193.82722,-1.1368684e-13,0
11,1,15,352.53705,-110.19853,0.0,1
11,1,16,351.95255,-116.5861,0.0,1
11,2,15,-100.6279,-405.99503,1.1368684e-13,2
11,2,16,-102.82446,-172.57573,0.0,2
11,3,15,146.62856,-1203.5049,0.0,3
11,3,16,106.33802,-1203.3479,0.0,3
11,4,15,336.98984,-1122.8245,0.0,4
11,4,16,312.69955,-1122.7365,0.0,4
11,5,15,202.96037,-1161.8519,0.0,5
11,5,16,186.32516,-1161.7894,0.0,5
11,6,15,270.87915,-1210.4227,0.0,6
11,6,16,252.85805,-1210.352,0.0,6
11,7,15,-152.26894,-1166.693,0.0,7
11,7,16,-167.80864,-1166.6343,0.0,7
11,8,15,-699.1998,-1554.0673,0.0,8
11,8,16,-683.9713,-1455.6599,0.0,8
11,9,15,-222.49762,-1149.8861,0.0,9
11,9,16,-243.42078,-1149.8083,0.0,9
11,10,15,-316.0516,-1176.9789,0.0,10
11,10,16,-317.42505,-1176.9736,0.0,10
11,11,15,-404.20264,-1034.5715,0.0,11
11,11,16,-432.3123,-1016.1843,0.0,11
11,12,15,-382.9818,-111.34942,0.0,12
11,12,16,-382.9818,-111.34942,0.0,12
11,13,15,-722.68286,-1216.0087,0.0,13
11,13,16,-722.68286,-1216.0087,0.0,13
12,0,15,-58.334232,166.80966,1.1368684e-13,0
12,0,16,30.850563,194.12549,-1.1368684e-13,0
12,1,15,352.56387,-110.20797,0.0,1
12,1,16,351.97964,-116.59432,-1.1368684e-13,1
12,2,15,-100.71118,-406.08505,0.0,2
12,2,16,-102.94412,-173.55876,1.1368684e-13,2
12,3,15,146.63596,-1203.3579,0.0,3
12,3,16,106.31561,-1203.2007,0.0,3
12,4,15,337.40067,-1124.2338,0.0,4
12,4,16,313.20966,-1124.1461,0.0,4
12,5,15,202.94733,-1162.1086,0.0,5
12,5,16,186.33188,-1162.0463,0.0,5
12,6,15,269.81552,-1210.6283,0.0,6
12,6,16,252.89917,-1210.5619,0.0,6
12,7,15,-152.25851,-1166.4336,0.0,7
12,7,16,-168.01065,-1166.3741,0.0,7
12,8,15,-698.96564,-1554.0615,0.0,8
12,8,16,-683.9658,-1455.6511,0.0,8
12,9,15,-222.49435,-1149.7874,0.0,9
12,9,16,-243.41722,-1149.7096,0.0,9
12,10,15,-316.06357,-1177.0708,0.0,10
12,10,16,-346.84158,-1176.9534,0.0,10
12,11,15,-404.4793,-1039.689,0.0,11
12,11,16,-426.23798,-961.4233,0.0,11
12,12,15,-382.98306,-111.346466,1.1368684e-13,12
12,12,16,-382.98306,-111.346466,1.1368684e-13,12
12,13,15,-722.68805,-1216.0872,0.0,13
12,13,16,-722.68805,-1216.0872,0.0,13
13,0,15,-58.280922,166.64163,0.0,0
13,0,16,30.859118,193.94554,0.0,0
13,1,15,352.4467,-109.19016,0.0,1
13,1,16,351.86237,-115.57247,0.0,1
13,2,15,-100.666824,-406.03424,0.0,2
13,2,16,-102.861435,-172.52074,1.1368684e-13,2
