frame,numero_pers,max_x,max_y,min_x,min_y,est_joueur
27,1,782.205,135.652,740.967,25.9721,0
27,2,1150.41,441.337,1064.27,304.056,0
27,0,697.9,570.665,551.014,400.104,1
27,4,268.891,153.308,225.781,24.123,0
27,3,907.59,182.751,858.627,55.3982,0
27,5,137.664,415.82,90.6493,323.836,0
27,6,974.188,196.468,927.194,69.1001,0
27,10,523.522,204.245,478.546,57.4022,0
27,8,96.4729,71.1,55.3384,5.34474,0
27,9,607.824,415.826,509.852,290.531,1
27,11,458.87,198.375,413.81,59.2777,0
27,12,400.142,114.094,337.467,5.35518,0
27,7,846.825,116.015,805.728,68.9639,0
28,1,782.158,135.654,740.973,25.9641,0
28,0,697.898,570.606,551.03,398.278,1
28,2,1150.41,441.336,1064.28,304.063,0
28,4,268.882,153.312,225.781,25.9362,0
28,3,905.65,180.823,862.513,55.4006,0
28,5,137.659,415.814,90.6465,323.784,0
28,6,974.199,200.314,927.187,69.0928,0
28,7,846.852,116.014,805.628,67.1493,0
28,8,96.4873,71.1081,55.3306,5.3441,0
28,10,523.504,147.423,478.558,59.2469,0
28,9,605.938,415.84,509.855,290.523,1
28,11,458.877,186.611,413.808,59.2819,0
28,12,400.15,114.135,337.447,5.35558,0
29,1,782.158,135.693,740.973,25.9661,0
29,0,697.934,570.653,554.898,398.202,1
29,2,1150.41,443.187,1064.28,304.062,0
29,4,266.959,153.333,225.777,24.1399,0
29,3,907.562,192.46,862.501,55.4131,0
29,5,139.571,415.795,90.6462,325.708,0
29,6,974.196,198.363,927.187,69.0965,0
29,7,846.861,116.016,805.614,67.1409,0
29,10,523.517,157.219,478.549,59.2449,0
29,8,96.4982,71.0958,55.332,5.34403,0
29,11,458.876,186.608,413.795,59.2799,0
29,9,607.856,415.871,509.862,290.534,1
29,12,400.138,114.124,337.461,5.35573,0
30,1,782.182,135.676,740.977,25.9703,0
30,0,697.931,570.658,554.879,398.286,1
30,2,1150.41,443.192,1064.27,304.063,0
30,4,266.962,153.337,225.777,25.9363,0
30,3,905.665,180.806,862.525,55.4214,0
30,5,139.57,415.809,90.6464,323.808,0
30,6,974.197,196.467,927.189,69.0961,0
30,10,523.538,200.34,478.534,57.3949,0
30,7,846.864,116.003,805.621,67.1426,0
30,8,96.4906,71.104,55.3321,5.34421,0
30,11,458.886,188.581,413.788,59.2737,0
30,9,607.826,415.878,509.863,290.538,1
30,12,400.137,114.135,337.455,5.3568,0
31,1,782.174,135.693,740.973,25.9684,0
31,2,1150.41,443.196,1064.28,304.054,0
31,4,268.888,153.327,225.777,25.9374,0
31,0,697.879,570.64,554.867,398.227,1
31,3,907.555,180.811,862.528,55.42,0
31,5,139.57,415.812,90.6495,325.691,0
31,6,974.192,198.362,927.189,69.098,0
